id;log_id;entry_date;logger;log_level;message;username;aplicatie;cod;tip
1;5cf2bc99-2721-407d-992b-a00fbdf302f2;2019-10-29T20:52:56;Home Loan Account;web-readiness;Namibia;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD
2;a2710fff-9c64-4013-a37a-197d02e642ac;2019-10-30T04:13:15;Costa Rica Mayotte;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical
3;8424c210-f6c6-4340-8d3b-bbcc91e5a1ed;2019-10-29T15:18:04;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;Frozen bus;hard drive Robust Networked;Poland;Small partnerships
4;30ea7598-be23-4968-833f-194b2ee9c4a1;2019-10-29T14:47:13;digital maroon;EXE projection Fresh;support Gorgeous;withdrawal;copying;ability Hat Iraq;magenta Concrete
5;53f25388-b651-4f4f-b4b7-b424f049f860;2019-10-30T10:54:31;ubiquitous;Public-key Granite;Way Dominican Republic;Bulgarian Lev navigate;Re-contextualized;web-enabled invoice withdrawal;bypassing optical
6;2582b0d9-5a30-4b8c-b5a1-2fb668ed2a5b;2019-10-30T08:58:42;Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Agent;Human deposit;even-keeled Saint Helena Pound;Internal AI optical
7;ad1e2cea-9905-41fa-b042-487b7af32b03;2019-10-29T23:50:54;Fish;payment calculating;local area network Benin;turn-key dedicated;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar
8;d33b7490-ca02-4ff7-b4ee-5b0fe568f9ff;2019-10-29T15:13:47;disintermediate;fuchsia eco-centric;Pants Maryland;calculating Intranet Ergonomic Concrete Soap;Director Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant
9;c4d9e180-8ac3-4a1b-ac0e-e5069179a057;2019-10-30T07:58:51;Specialist generating;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account;backing up;Iran;Philippine Peso Metal
10;2ff8b50c-6467-4b14-82f1-d6bb602e2743;2019-10-29T22:31:13;microchip;Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;hack;leading-edge;Ergonomic Steel Gloves
